run_id,method_id,checkpoint_id,training_updates,environment,pair,visit,evaluation_domain,stage,prediction_count,target_count,maximum_valid_pairs_50,maximum_valid_pairs_25,best_iou_mean,ar50,ar25,tp50,fp50,fn50,f1_50,tp25,fp25,fn25,f1_25
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R2_EXCLUSIVE_QUERY,4,14,0,0,0.043609567991701736,0.0,0.0,0,4,14,0.0,0,4,14,0.0
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R3_FINAL_MAP,33,14,0,1,0.11813921358440245,0.0,0.07142857142857142,0,33,14,0.0,1,32,13,0.0425531914893617
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R0_RAW_ALL,60,14,0,0,0.04447961560090746,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R1_ELIGIBLE,5,14,0,0,0.03672673345503941,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R2_EXCLUSIVE_QUERY,5,14,0,0,0.036712090158550384,0.0,0.0,0,5,14,0.0,0,5,14,0.0
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R3_FINAL_MAP,25,14,0,2,0.11600045720929071,0.0,0.14285714285714285,0,25,14,0.0,2,23,12,0.10256410256410256
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R0_RAW_ALL,77,12,1,4,0.20458739839617332,0.08333333333333333,0.3333333333333333,,,,,,,,
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R1_ELIGIBLE,4,12,0,4,0.14373200791883192,0.0,0.3333333333333333,,,,,,,,
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R2_EXCLUSIVE_QUERY,4,12,0,4,0.14553736819574006,0.0,0.3333333333333333,0,4,12,0.0,4,0,8,0.5
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R3_FINAL_MAP,24,12,2,7,0.2891101188165754,0.16666666666666666,0.5833333333333334,2,22,10,0.1111111111111111,7,17,5,0.3888888888888889
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R0_RAW_ALL,60,10,1,3,0.16001321745325822,0.1,0.3,,,,,,,,
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R1_ELIGIBLE,5,10,1,3,0.13571602225259577,0.1,0.3,,,,,,,,
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R2_EXCLUSIVE_QUERY,5,10,1,3,0.13582061763539463,0.1,0.3,1,4,9,0.13333333333333333,3,2,7,0.4
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R3_FINAL_MAP,21,10,2,8,0.3381393607535617,0.2,0.8,2,19,8,0.12903225806451613,8,13,2,0.5161290322580645
20260908_scene0109_obs_fuse_train200_dev_v2,OBS_FUSE,1864f3492177da98e2aefc98d93b98bab53a7d45faed2149b2409760dbe83018,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R0_RAW_ALL,56,14,0,1,0.06589865569260918,0.0,0.07142857142857142,,,,,,,,
20260908_scene0109_obs_fuse_train200_dev_v2,OBS_FUSE,1864f3492177da98e2aefc98d93b98bab53a7d45faed2149b2409760dbe83018,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R1_ELIGIBLE,3,14,0,1,0.037859441063751574,0.0,0.07142857142857142,,,,,,,,
