canonical_source_row,x,y,z,native_id,final_id,diagnostic_GT_id,category
313441,-13.005000114440918,-7.291110038757324,2.5950000286102295,11,11,-1,GT_unmatched
313442,-13.005000114440918,-7.2920098304748535,2.5850000381469727,11,11,-1,GT_unmatched
313443,-13.006600379943848,-7.295000076293945,2.6050000190734863,11,11,-1,GT_unmatched
313444,-13.005000114440918,-7.2934699058532715,2.6050000190734863,11,11,-1,GT_unmatched
313445,-13.009099960327148,-7.295000076293945,2.5950000286102295,11,11,-1,GT_unmatched
313446,-13.009099960327148,-7.295000076293945,2.5950000286102295,11,11,-1,GT_unmatched
313447,-13.005000114440918,-7.2934699058532715,2.6050000190734863,11,11,-1,GT_unmatched
313448,-13.005000114440918,-7.291110038757324,2.5950000286102295,11,11,-1,GT_unmatched
313449,-13.005000114440918,-7.295000076293945,2.607189893722534,11,11,-1,GT_unmatched
313450,-13.005000114440918,-7.2934699058532715,2.6050000190734863,11,11,-1,GT_unmatched
313451,-13.006600379943848,-7.295000076293945,2.6050000190734863,11,11,-1,GT_unmatched
313452,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313453,-13.003600120544434,-7.295000076293945,2.575000047683716,11,11,-1,GT_unmatched
313456,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313459,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313461,-13.005000114440918,-7.295000076293945,2.576970100402832,11,11,-1,GT_unmatched
313462,-13.003600120544434,-7.295000076293945,2.575000047683716,11,11,-1,GT_unmatched
313463,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313465,-13.005000114440918,-7.295000076293945,2.607189893722534,11,11,-1,GT_unmatched
313482,-13.003600120544434,-7.295000076293945,2.575000047683716,11,11,-1,GT_unmatched
313485,-13.005000114440918,-7.295000076293945,2.576970100402832,11,11,-1,GT_unmatched
313486,-13.005000114440918,-7.2920098304748535,2.5850000381469727,11,11,-1,GT_unmatched
313487,-13.003600120544434,-7.295000076293945,2.575000047683716,11,11,-1,GT_unmatched
313488,-13.005000114440918,-7.2920098304748535,2.5850000381469727,11,11,-1,GT_unmatched
313490,-13.003600120544434,-7.295000076293945,2.575000047683716,11,11,-1,GT_unmatched
313491,-13.005000114440918,-7.2920098304748535,2.5850000381469727,11,11,-1,GT_unmatched
313494,-13.005000114440918,-7.2920098304748535,2.5850000381469727,11,11,-1,GT_unmatched
313497,-13.005000114440918,-7.291110038757324,2.5950000286102295,11,11,-1,GT_unmatched
313499,-13.005000114440918,-7.2920098304748535,2.5850000381469727,11,11,-1,GT_unmatched
313500,-13.005000114440918,-7.291110038757324,2.5950000286102295,11,11,-1,GT_unmatched
313503,-13.005000114440918,-7.2934699058532715,2.6050000190734863,11,11,-1,GT_unmatched
313505,-13.005000114440918,-7.291110038757324,2.5950000286102295,11,11,-1,GT_unmatched
313508,-13.005000114440918,-7.295000076293945,2.607189893722534,11,11,-1,GT_unmatched
313510,-13.005000114440918,-7.2934699058532715,2.6050000190734863,11,11,-1,GT_unmatched
313511,-13.005000114440918,-7.295000076293945,2.607189893722534,11,11,-1,GT_unmatched
313514,-13.005000114440918,-7.2934699058532715,2.6050000190734863,11,11,-1,GT_unmatched
362676,-8.800789833068848,-5.355000019073486,4.014999866485596,4,4,-1,GT_unmatched
362677,-8.800789833068848,-5.34499979019165,4.005000114440918,4,4,-1,GT_unmatched
362678,-8.800600051879883,-5.355000019073486,4.005000114440918,4,4,-1,GT_unmatched
362680,-8.800789833068848,-5.34499979019165,4.005000114440918,4,4,-1,GT_unmatched
362681,-8.800789833068848,-5.355000019073486,4.014999866485596,4,4,-1,GT_unmatched
362683,-8.800660133361816,-5.335000038146973,4.005000114440918,4,4,-1,GT_unmatched
362684,-8.800789833068848,-5.34499979019165,4.005000114440918,4,4,-1,GT_unmatched
362685,-8.800919532775879,-5.335000038146973,4.014999866485596,4,4,-1,GT_unmatched
362686,-8.800660133361816,-5.335000038146973,4.005000114440918,4,4,-1,GT_unmatched
362688,-8.800919532775879,-5.335000038146973,4.014999866485596,4,4,-1,GT_unmatched
362689,-8.800700187683105,-5.324999809265137,4.005000114440918,4,4,-1,GT_unmatched
362690,-8.800660133361816,-5.335000038146973,4.005000114440918,4,4,-1,GT_unmatched
362691,-8.80072021484375,-5.324999809265137,4.014999866485596,4,4,-1,GT_unmatched
362692,-8.800700187683105,-5.324999809265137,4.005000114440918,4,4,-1,GT_unmatched
362693,-8.800919532775879,-5.335000038146973,4.014999866485596,4,4,-1,GT_unmatched
362694,-8.80072021484375,-5.324999809265137,4.014999866485596,4,4,-1,GT_unmatched
362695,-8.800729751586914,-5.315000057220459,4.005000114440918,4,4,-1,GT_unmatched
362696,-8.800700187683105,-5.324999809265137,4.005000114440918,4,4,-1,GT_unmatched
362698,-8.800729751586914,-5.315000057220459,4.005000114440918,4,4,-1,GT_unmatched
362699,-8.80072021484375,-5.324999809265137,4.014999866485596,4,4,-1,GT_unmatched
362701,-8.801050186157227,-5.304999828338623,4.005000114440918,4,4,-1,GT_unmatched
362702,-8.800729751586914,-5.315000057220459,4.005000114440918,4,4,-1,GT_unmatched
362703,-8.801369667053223,-5.304999828338623,4.014999866485596,4,4,-1,GT_unmatched
362704,-8.801050186157227,-5.304999828338623,4.005000114440918,4,4,-1,GT_unmatched
362706,-8.801369667053223,-5.304999828338623,4.014999866485596,4,4,-1,GT_unmatched
362707,-8.800959587097168,-5.295000076293945,4.005000114440918,4,4,-1,GT_unmatched
362708,-8.801050186157227,-5.304999828338623,4.005000114440918,4,4,-1,GT_unmatched
362709,-8.80109977722168,-5.295000076293945,4.014999866485596,4,4,-1,GT_unmatched
362710,-8.800959587097168,-5.295000076293945,4.005000114440918,4,4,-1,GT_unmatched
362711,-8.801369667053223,-5.304999828338623,4.014999866485596,4,4,-1,GT_unmatched
362712,-8.80109977722168,-5.295000076293945,4.014999866485596,4,4,-1,GT_unmatched
362713,-8.801219940185547,-5.284999847412109,4.005000114440918,4,4,-1,GT_unmatched
