optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,all_gradients_finite
157,22.156112670898438,0.006124702747911215,0.027748508378863335,0.5653064846992493,-0.0,-0.0,22.151986122131348,12.273340225219727,0.9999998421201202,True
158,22.113094329833984,0.003794861026108265,0.027714550495147705,0.5690943598747253,-0.0,-0.0,22.13198184967041,12.83324909210205,0.9999998626394037,True
159,22.191635131835938,0.0033319469075649977,0.026677846908569336,0.5829386115074158,-0.0,-0.0,22.146068572998047,9.306208610534668,0.999999867797433,True
160,22.18172836303711,0.003590136533603072,0.028452608734369278,0.5688314437866211,-0.0,-0.0,22.117642402648926,9.102785110473633,0.9999999597440584,True
161,22.114818572998047,0.002956738928332925,0.027767036110162735,0.5721564292907715,-0.0,-0.0,22.137252807617188,11.450347900390625,0.9999999183779631,True
162,22.08250617980957,0.0032697883434593678,0.027013344690203667,0.564702033996582,-0.0,-0.0,22.075822830200195,14.213789939880371,0.9999999863334778,True
163,21.99835205078125,0.003063368843868375,0.026547998189926147,0.5734714269638062,-0.0,-0.0,22.02700424194336,10.284566879272461,0.9999998486415392,True
164,22.06410789489746,0.0037795959506183863,0.028527412563562393,0.5637988448143005,-0.0,-0.0,22.070685386657715,10.110238075256348,0.9999999189712947,True
165,22.102115631103516,0.00304808490909636,0.026942431926727295,0.5606663823127747,-0.0,-0.0,22.186762809753418,13.724879264831543,0.9999999368668548,True
166,22.015310287475586,0.00409817835316062,0.027578840032219887,0.5723940134048462,-0.0,-0.0,22.052016258239746,9.623140335083008,0.9999999154771864,True
167,21.956979751586914,0.0027157622389495373,0.02676522731781006,0.5622617602348328,-0.0,-0.0,21.97114849090576,9.717780113220215,0.9999998655798573,True
168,22.160253524780273,0.004630283918231726,0.027505118399858475,0.5658497214317322,-0.0,-0.0,22.074695587158203,12.347966194152832,0.9999999401832138,True
169,21.89859390258789,0.003379133762791753,0.025980306789278984,0.5630146265029907,-0.0,-0.0,21.96553897857666,13.657886505126953,0.9999999609099169,True
170,22.143596649169922,0.0031984602101147175,0.02624679170548916,0.5656313896179199,-0.0,-0.0,22.125722885131836,94.41309356689453,1.000000013321369,True
171,21.961267471313477,0.0034173743333667517,0.025431061163544655,0.5612838864326477,-0.0,-0.0,21.94450855255127,11.167486190795898,0.9999998963362433,True
172,21.78993797302246,0.0032226790208369493,0.026243990287184715,0.565365731716156,-0.0,-0.0,21.866833686828613,9.505894660949707,0.9999999672785401,True
173,21.935007095336914,0.0032926718704402447,0.026064828038215637,0.5673453211784363,-0.0,-0.0,21.91225528717041,10.228767395019531,0.999999949864217,True
174,21.883474349975586,0.0036378023214638233,0.02659113146364689,0.563504159450531,-0.0,-0.0,21.851778030395508,8.158499717712402,0.9999998588927965,True
175,21.923725128173828,0.0034737358801066875,0.02718188241124153,0.5640679001808167,-0.0,-0.0,21.941164016723633,10.375882148742676,0.9999999033195717,True
176,22.32602310180664,0.0032654120586812496,0.026164177805185318,0.5603300929069519,-0.0,-0.0,22.118185997009277,13.29230785369873,0.9999999486133206,True
177,21.902587890625,0.0039382269605994225,0.026149917393922806,0.5624130368232727,-0.0,-0.0,21.9710636138916,10.867960929870605,0.9999999110264599,True
178,21.96502685546875,0.0035895169712603092,0.025237470865249634,0.5620179772377014,-0.0,-0.0,21.932433128356934,12.289961814880371,0.9999998543212207,True
179,21.862409591674805,0.002979462966322899,0.027148619294166565,0.5588369965553284,-0.0,-0.0,21.831732749938965,13.293087005615234,0.9999999435001412,True
180,21.821208953857422,0.002843535505235195,0.026844441890716553,0.5516862869262695,-0.0,-0.0,21.794105529785156,13.428905487060547,0.9999999257229292,True
181,21.827640533447266,0.0035478014033287764,0.026415875181555748,0.5597746968269348,-0.0,-0.0,21.79312038421631,10.11855411529541,0.999999913380403,True
182,21.82793617248535,0.0036869605537503958,0.026317572221159935,0.5544247031211853,-0.0,-0.0,21.776652336120605,13.447540283203125,0.9999999658872406,True
183,21.76347541809082,0.003283254336565733,0.025322986766695976,0.5491836667060852,-0.0,-0.0,21.782690048217773,9.978797912597656,0.9999999492873699,True
