optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,micro_step_pair_ids,pair_exposure_counts,effective_instance_targets,effective_valid_model_rows,effective_valid_regions,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,optimizer_group_1_gradient_norm,all_gradients_finite
231,27.724760055541992,0.056323831900954247,0.04157785139977932,0.6039815247058868,3.403988242149353,3.731206774711609,scene0147_00-scene0147_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 77, ""scene0063_00-scene0063_02"": 77, ""scene0078_00-scene0078_01"": 77, ""scene0147_00-scene0147_01"": 77, ""scene0156_00-scene0156_01"": 77, ""scene0201_00-scene0201_01"": 77}",68,86168,253,27.724760055541992,120.74636840820312,0.9999972745238301,0.002340825681421889,True
232,27.7550687789917,0.1018657423555851,0.03773233853280544,0.6167623400688171,2.5796207189559937,3.7194021940231323,scene0078_00-scene0078_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 77, ""scene0063_00-scene0063_02"": 77, ""scene0078_00-scene0078_01"": 78, ""scene0147_00-scene0147_01"": 78, ""scene0156_00-scene0156_01"": 77, ""scene0201_00-scene0201_01"": 77}",60,53172,209,27.7550687789917,76.9627685546875,0.9999805740231199,0.00623737675935204,True
233,26.712417602539062,0.033703288063406944,0.039910487830638885,0.635549008846283,3.1755391359329224,3.5587127208709717,scene0001_00-scene0001_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 78, ""scene0063_00-scene0063_02"": 77, ""scene0078_00-scene0078_01"": 78, ""scene0147_00-scene0147_01"": 78, ""scene0156_00-scene0156_01"": 78, ""scene0201_00-scene0201_01"": 77}",54,79453,307,26.712417602539062,18.97164535522461,0.9995443654257704,0.03018112594251619,True
234,28.957751274108887,0.09749215841293335,0.04011638555675745,0.6873221695423126,2.715710163116455,3.3972781896591187,scene0201_00-scene0201_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 78, ""scene0063_00-scene0063_02"": 78, ""scene0078_00-scene0078_01"": 78, ""scene0147_00-scene0147_01"": 78, ""scene0156_00-scene0156_01"": 78, ""scene0201_00-scene0201_01"": 78}",65,39716,236,28.957751274108887,46.02084732055664,0.999779875843185,0.02097777252131353,True
235,28.556325912475586,0.1078956313431263,0.04636114090681076,0.6060081422328949,2.7529345750808716,3.8937524557113647,scene0063_00-scene0063_02|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 78, ""scene0063_00-scene0063_02"": 79, ""scene0078_00-scene0078_01"": 78, ""scene0147_00-scene0147_01"": 79, ""scene0156_00-scene0156_01"": 78, ""scene0201_00-scene0201_01"": 78}",60,35727,191,28.556325912475586,62.06309127807617,0.9999947113088848,0.00325783891258673,True
236,26.935410499572754,0.03340331092476845,0.033925674855709076,0.6649044752120972,2.374415874481201,3.5023086071014404,scene0078_00-scene0078_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 79, ""scene0063_00-scene0063_02"": 79, ""scene0078_00-scene0078_01"": 79, ""scene0147_00-scene0147_01"": 79, ""scene0156_00-scene0156_01"": 78, ""scene0201_00-scene0201_01"": 78}",46,46457,263,26.935410499572754,99.16127014160156,0.9999380861863618,0.011127470315219509,True
237,28.562037467956543,0.03472776897251606,0.03473299369215965,0.6748501360416412,3.3139522075653076,3.6125515699386597,scene0156_00-scene0156_01|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 79, ""scene0063_00-scene0063_02"": 79, ""scene0078_00-scene0078_01"": 79, ""scene0147_00-scene0147_01"": 79, ""scene0156_00-scene0156_01"": 79, ""scene0201_00-scene0201_01"": 79}",73,90157,298,28.562037467956543,34.23077392578125,0.9998663645094134,0.016351207889211794,True
238,27.008928298950195,0.09386613219976425,0.03453421965241432,0.6110133528709412,2.5754259824752808,3.578402876853943,scene0078_00-scene0078_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 79, ""scene0063_00-scene0063_02"": 79, ""scene0078_00-scene0078_01"": 80, ""scene0147_00-scene0147_01"": 80, ""scene0156_00-scene0156_01"": 79, ""scene0201_00-scene0201_01"": 79}",60,53172,209,27.008928298950195,24.40719985961914,0.9998442535091636,0.017643256957866695,True
239,30.176143646240234,0.07948866859078407,0.03980229888111353,0.6811409592628479,2.7205941677093506,3.8050262928009033,scene0201_00-scene0201_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 79, ""scene0063_00-scene0063_02"": 80, ""scene0078_00-scene0078_01"": 80, ""scene0147_00-scene0147_01"": 80, ""scene0156_00-scene0156_01"": 79, ""scene0201_00-scene0201_01"": 80}",65,39716,236,30.176143646240234,48.86366271972656,0.9996077920401752,0.028006766234736583,True
240,26.495969772338867,0.04148377105593681,0.038033502176404,0.6362002491950989,3.1676366329193115,3.363361954689026,scene0001_00-scene0001_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 80, ""scene0063_00-scene0063_02"": 80, ""scene0078_00-scene0078_01"": 80, ""scene0147_00-scene0147_01"": 80, ""scene0156_00-scene0156_01"": 80, ""scene0201_00-scene0201_01"": 80}",54,79453,307,26.495969772338867,21.850818634033203,0.9999255107551096,0.0122004236075064,True
